"id","title","url","logo","city","state","character","total_population","normal_population","older_population","joining_date","city_status_id","city_status","cycle","related_actions","older_rate","normal_rate"
1163,"Peumo","/comunas-amigables/libertador-general-bernardo-ohiggins/peumo/","http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Escudo_de_Peumo.svg/38px-Escudo_de_Peumo.svg.png","Peumo","Libertador General Bernardo O´Higgins","Urbano","14.313",11705,2608,1613358000,1,"Autoridad comprometida","1er",13,18,82
1172,"Marchihue","/comunas-amigables/libertador-general-bernardo-ohiggins/marchihue/","http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Former_coat_of_arms_of_Marchigüe,_Chile.jpg/38px-Former_coat_of_arms_of_Marchigüe,_Chile.jpg","Marchihue","Libertador General Bernardo O´Higgins","Urbano","7.308",5681,1627,1554087600,3,"Plan de Acción creado","1er",8,22,78
1122,"Los Andes","/comunas-amigables/valparaiso/los-andes/","http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Escudo_de_Los_Andes.svg/38px-Escudo_de_Los_Andes.svg.png","Los Andes","Valparaíso","Urbano","66.708",55247,11461,1546570800,1,"Autoridad comprometida","1er",8,17,83
1399,"Chillán","/comunas-amigables/nuble/chill-n/","http://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Escudo_de_Chillán.svg/38px-Escudo_de_Chillán.svg.png","Chillán","Ñuble","Urbano","184.739",152976,31763,1549335600,2,"Diagnóstico realizado","1er",7,17,83
1184,"Santa Cruz","/comunas-amigables/libertador-general-bernardo-ohiggins/santa-cruz/","http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Escudo_de_Santa_Cruz,_Chile.svg/51px-Escudo_de_Santa_Cruz,_Chile.svg.png","Santa Cruz","Libertador General Bernardo O´Higgins","Urbano","37.855",31022,6833,1560830400,1,"Autoridad comprometida","1er",7,18,82
1352,"Peñalolén","/comunas-amigables/metropolitana-de-santiago/pe-alol-n/","http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Escudo_de_Peñalolén.svg/38px-Escudo_de_Peñalolén.svg.png","Peñalolén","Metropolitana de Santiago","Urbano","241.599",205858,35741,1556596800,3,"Plan de Acción creado","1er",6,15,85
1167,"Requínoa","/comunas-amigables/libertador-general-bernardo-ohiggins/requ-noa/","http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Escudo_Requinoa.png/37px-Escudo_Requinoa.png","Requínoa","Libertador General Bernardo O´Higgins","Urbano","27.968",23955,4013,1567051200,1,"Autoridad comprometida","1er",6,14,86
1385,"Lanco","/comunas-amigables/los-rios/lanco/","https://ciudadesamigables.cl/site/templates/dist/images/escudo-placeholder.svg","Lanco","Los Ríos","Urbano","16.752",13632,3120,1569466800,1,"Autoridad comprometida","1er",5,19,81
1405,"Quillón","/comunas-amigables/nuble/quill-n/","http://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Escudo_de_Quillón.svg/37px-Escudo_de_Quillón.svg.png","Quillón","Ñuble","Urbano","17.485",13405,4080,1529035200,3,"Plan de Acción creado","1er",5,23,77
1336,"Estación Central","/comunas-amigables/metropolitana-de-santiago/estaci-n-central/","http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Escudo_de_Estación_Central.svg/38px-Escudo_de_Estación_Central.svg.png","Estación Central","Metropolitana de Santiago","Urbano","147.041",123006,24035,1556164800,1,"Autoridad comprometida","1er",4,16,84
